"GL_CODE","GL_DESC"
"2120000A3","TERRAINS EN LOCATION SIMPLE"
"2131000A4","TERRAIN EN LOCATION"
"2132000A4","TERRAINS NON LOUÉS"
"2140000A3","TERRAINS ACQUIS PAR ADJUDICATION"
"2150000A3","ECARTS DE RÉEVALUATION"
"2151000A4","TERRAINS EN EXPLOITATION BANCAIRE"
"5528000A4","CAISSE D EPARGNE POSTALE"
"5529000A4","AUTRES INSTITUTIONS FINANCIERES"
"5580000A3","CREANCES RATTACHEES"
"5590000A3","DETTES RATTACHEES"
"5600000A2","COMPTES A VUE DES CORRESPONDANTS"
"5600000A3","COMPTES A VUE DES CORRESPONDANTS"
"5601000A4","BANQUES CENTRALES"
"5602000A4","INSTITUTIONS FINANCIERES SPEC"
"5603000A4","BANQUES ASSOCIÉES"
"5604000A4","BANQUES NON ASSOCIÉES"
"5605000A4","CHEQUES POSTAUX"
"5606000A4","ETABLISSEMENTS FINANCIERS ASSOCIÉS"
"5607000A4","ETABLISSEMENTS FINANC NON ASSOCIÉS"
"5608000A4","CAISSE D EPARGNE POSTALE"
"5609000A4","AUTRES INST FINANCIERES"
"5610000A3","COMPTES LORI"
"5611000A4","BANQUES CENTRALES"
"5612000A4","INSTITUTIONS FINANCIERES SPEC"
"5613000A4","BANQUES ASSOCIÉES"
"5614000A4","BANQUES NON ASSOCIÉES"
"5615000A4","CHEQUES POSTAUX"
"5616000A4","ETABLISSEMENTS FINANCIERS ASSOCIÉS"
"5617000A4","ETABLISSEMENTS FINANC NON ASSOCIÉS"
"5618000A4","CAISSE D EPARGNE POSTALE"
"5619000A4","AUTRES INSTITUTIONS FINANCIERES"
"5630000A3","DEPOTS DE GARANTIE CONSTITUES"
"5640000A3","DEPOTS DE GARANTIE RECUS"
"5680000A3","CREANCES RATTACHEES"
"5690000A3","DETTES RATTACHEES"
"5710000A3","BILLETS ET MONNAIES"
"5720000A3","AVOIRS EN OR ET PIERRES PRECIEUSES"
"5730000A3","CHEQUES DE VOYAGE"
"5740000A3","TIMBRES POSTAUX ET FISCAUX"
"5751000A4","MOUVEMENT DE FONDS"
"5753000A4","MOUVEMENT DE FONDS"
"5800000A2","CREANCE EN SOUFFRANCE/CORRESPONDENT"
"5810000A3","CREANCES IMMOBILISEES"
"5820000A3","CREANCES IMPAYEES"
"5900000A2","PROVISIONS CPTE DE TRESORERIE"
"5910000A3","PROVISIONS POUR DÉPRÉCIATION DES TITRES DE PLACEMEN"
"5911000A4","PROV DÉPRÉCIATION  DES ACTIONS ET PARTS ETS DE CRÉDIT"
"5912000A4","PROV DÉPRÉCIATION  BONS DU TRÉSOR"
"5913000A4","PROV DÉPRÉCIATION DES AUTRES ACTIONS ET PARTS NÉGOCIABLES"
"5915000A4","PROV DEPRECIATION DES OBLIGATIONS PROPRES RACHETÉES PAR ANTICIPATION"
"5916000A4","PROV DEPRECIATION DES AUTRES TITRES À COURT TERME"
"5917000A4","PROV DEPRECIATION DES TITRES DOUTEUX"
"5920000A3","PROVISION POUR COMPTES  CORRESPOND."
"5921000A4","CREAN SUR CORR IMPAYES"
"5922000A4","CREAN SUR CORR IMMOB"
"5923000A4","CREAN SUR CORR DOUT"
"6000000A2","COMPTES DE CHARGES"
"6010000A3","INTERETS SUR OPS DU MARCHE MONET."
"6011000A4","INTERETS OPERATIONS INTERBANCAIRES"
"6012000A4","BEAC"
"6020000A3","INTERET SUR VAL DONNEES EN PENSION"
"6030000A3","INT SUR EMPRUNTS ET CPTES A TERME"
"6040000A3","INT SUR EMPRUNTS AU JOUR LE JOUR"
"6050000A3","INT SUR COMPTE A VUE"
"6060000A3","COMM SUR OPS DE TRESORERIE INTERB"
"6061000A4","COMMISSION SUR OPS ET  INTERBANC"
"6062000A4","COMM SUR AUT VAL DONNÉS EN PENSION"
"6063000A4","COMM SUR EMPRUNT ET CPTE À TERME"
"6064000A4","COMM SU EMPRUNT AU JOUR LE JOUR"
"6065000A4","COMMISSIONS SUR COMPTES A VUE"
"6100000A2","CHS OPS AVC CLTLE ET DE CREDIT BAIL"
"6110000A3","INTS SUR DEPOTS À RÉGIME SPECIAL"
"6111000A4","INTERET SUR BONS DE CAISSE"
"6112000A4","INTERET SUR CERTIFICAT DE DEPOT"
"6113000A4","INTS SUR CPTE ET PLANS  EPARG LOGT"
"6114000A4","INTERET SUR PLANS EPARGNE RETRAITE"
"6115000A4","INTERET SUR CPTE EPARGNE REG SPEC."
"6120000A3","INTERET SUR DEPOT A TERME"
"6130000A3","INTERET SUR COMPTE SUR LIVRETS"
"6140000A3","INTERET SUR COMPTE A VUE"
"6150000A3","CHARGES SUR OPS CREDIT BAIL OU LOC"
"6151000A4","DOT AUX AMORTISSEMENTS DES IMMO"
"6152000A4","DOT AUX PROVS POUR DEPREC DES IMMO"
"6154000A4","DOT AUX PROVS RISQ NON PERCEP LOY"
"6155000A4","MV DE CESSION SUR IMMO"
"6156000A4","DÉPRECSUR IMMO DONNÉES EN CRED-BAIL"
"6159000A4","AUTRES CHGS SUR OPS DE CRÉDIT-BAIL"
"6160000A3","CHARGES SUR OPS DE LOCATION SIMPLE"
